,movie,size,mean_ratings,weighted_rating,genre 1,genre 2,genre 3,genre 4,genre 5,genre 6
52,Airplane! (1980),1731,3.9711149624494513,29.61043825088461,Comedy,,,,,
53,Airport (1970),179,3.1452513966480447,16.315632450772878,Drama,,,,,
54,Akira (1988),452,3.933628318584071,24.04895335341086,Adventure,Animation,Sci-Fi,Thriller,,
55,Aladdin (1992),1351,3.788304959289415,27.308376409829975,Animation,Children's,Comedy,Musical,,
56,Aladdin and the King of Thieves (1996),209,2.8947368421052633,15.4646517820034,Animation,Children's,Comedy,,,
57,Alice in Wonderland (1951),525,3.697142857142857,23.1566781479816,Animation,Children's,Musical,,,
58,Alien (1979),2024,4.159584980237154,31.66621761116578,Action,Horror,Sci-Fi,Thriller,,
59,Alien Nation (1988),504,3.2242063492063493,20.062869911936456,Crime,Drama,Sci-Fi,,,
60,Alien: Resurrection (1997),779,2.958921694480103,19.700533325715117,Action,Horror,Sci-Fi,,,
61,Aliens (1986),1820,4.125824175824176,30.970877844259313,Action,Sci-Fi,Thriller,War,,
62,Alien³ (1992),925,3.037837837837838,20.74780584044315,Action,Horror,Sci-Fi,Thriller,,
63,Alive (1993),366,3.401639344262295,20.078629781652186,Drama,,,,,
64,All About Eve (1950),403,4.255583126550868,25.528973210269378,Drama,,,,,
65,All About My Mother (Todo Sobre Mi Madre) (1999),394,4.086294416243655,24.421129350176837,Comedy,Drama,,,,
66,All Dogs Go to Heaven (1989),215,2.869767441860465,15.412482155138454,Animation,Children's,,,,
67,All Quiet on the Western Front (1930),268,4.1940298507462686,23.44876629139628,War,,,,,
68,All That Jazz (1979),317,3.823343848580442,22.018261671732695,Musical,,,,,
69,All the King's Men (1949),119,4.033613445378151,19.277136778937262,Drama,,,,,
70,Allan Quartermain and the Lost City of Gold (1987),137,2.051094890510949,10.091347738377396,Action,Adventure,,,,
71,Alligator (1980),153,2.235294117647059,11.244508294877209,Action,Horror,Sci-Fi,,,
72,Almost Famous (2000),994,4.22635814889336,29.16921328487351,Comedy,Drama,,,,
73,Amadeus (1984),1382,4.251808972503618,30.746050967748964,Drama,,,,,
74,American Beauty (1999),3428,4.3173862310385065,35.14236806879274,Comedy,Drama,,,,
75,American Gigolo (1980),295,3.169491525423729,18.02482019721265,Drama,,,,,
76,American Graffiti (1973),990,4.026262626262627,27.771971619505802,Comedy,Drama,,,,
77,American History X (1998),640,4.2265625,27.30979908912001,Drama,,,,,
78,American Movie (1999),295,4.013559322033898,22.825012955614735,Documentary,,,,,
79,American Pie (1999),1389,3.7098632109431247,26.84582910958469,Comedy,,,,,
80,American Pop (1981),112,3.0714285714285716,14.492532247549219,Animation,Musical,,,,
81,"American President, The (1995)",1033,3.7938044530493706,26.329846908499384,Comedy,Drama,Romance,,,
82,American Psycho (2000),630,3.219047619047619,20.749079037641195,Comedy,Horror,Thriller,,,
83,"American Tail, An (1986)",404,3.4282178217821784,20.57415744053513,Animation,Children's,Comedy,,,
84,"American Tail: Fievel Goes West, An (1991)",201,2.8308457711442787,15.012838272067732,Animation,Children's,Comedy,,,
85,"American Werewolf in London, An (1981)",549,3.7522768670309654,23.669731857030296,Horror,,,,,
86,"American Werewolf in Paris, An (1997)",265,2.7547169811320753,15.370576501773366,Comedy,Horror,,,,
87,"American in Paris, An (1951)",343,3.8513119533527695,22.48292105162159,Musical,Romance,,,,
88,Amistad (1997),351,3.717948717948718,21.790102625706425,Drama,,,,,
89,"Amityville Horror, The (1979)",355,2.9380281690140846,17.25244747724749,Horror,,,,,
90,Anaconda (1997),399,2.200501253132832,13.178717102830326,Action,Adventure,Thriller,,,
91,Analyze This (1999),616,3.3944805194805197,21.80358668952693,Comedy,,,,,
92,Anastasia (1997),304,3.5032894736842106,20.028402967097456,Animation,Children's,Musical,,,
93,Anatomy of a Murder (1959),199,4.231155778894473,22.396797298583028,Drama,Mystery,,,,
94,Anchors Aweigh (1945),103,3.6310679611650487,16.829015937843533,Comedy,Musical,,,,
95,And Now for Something Completely Different (1971),451,4.137472283813747,25.286026730625274,Comedy,,,,,
96,And the Band Played On (1993),171,3.9298245614035086,20.20583573081747,Drama,,,,,
97,Angel Heart (1987),448,3.404017857142857,20.780825177305474,Film-Noir,Mystery,Thriller,,,
98,Angela's Ashes (1999),225,3.4133333333333336,18.486956039524422,Drama,,,,,
99,Angels and Insects (1995),194,3.402061855670103,17.92157930402988,Drama,Romance,,,,
100,Angels in the Outfield (1994),247,2.769230769230769,15.256767701431322,Children's,Comedy,,,,
101,Angus (1995),145,3.3241379310344827,16.543349405839425,Comedy,,,,,
102,Animal House (1978),1207,4.053024026512014,28.75982571467202,Comedy,,,,,
103,Anna and the King (1999),333,3.4144144144144146,19.831405438762058,Drama,Romance,,,,
104,Annie Hall (1977),1334,4.14167916041979,29.803263250582848,Comedy,Romance,,,,
105,Another Stakeout (1993),179,2.4804469273743015,12.867035183202766,Comedy,Thriller,,,,
106,Antz (1998),645,3.483720930232558,22.537062731535038,Animation,Children's,,,,
107,Any Given Sunday (1999),483,3.1262939958592133,19.320548958623984,Drama,,,,,
108,Anywhere But Here (1999),161,2.950310559006211,14.991720952593912,Drama,,,,,
109,"Apartment, The (1960)",417,4.127098321342926,24.89914001850297,Comedy,Drama,,,,
110,Apocalypse Now (1979),1176,4.243197278911564,29.99887066412268,Drama,War,,,,
111,Apollo 13 (1995),1251,4.073541167066347,29.05126747349271,Drama,,,,,
112,"Apostle, The (1997)",471,3.7261146496815285,22.933706910825503,Drama,,,,,
113,"Apple Dumpling Gang Rides Again, The (1979)",109,2.6605504587155964,12.481567760059189,Children's,Comedy,Western,,,
114,"Apple Dumpling Gang, The (1975)",232,2.978448275862069,16.222825533713017,Children's,Comedy,Western,,,
115,April Fool's Day (1986),116,3.0,14.260770573319093,Comedy,Horror,,,,
116,Apt Pupil (1998),187,3.106951871657754,16.252802707981363,Drama,Thriller,,,,
117,Arachnophobia (1990),1367,3.0029261155815656,21.682249158560214,Action,Comedy,Sci-Fi,Thriller,,
118,"Aristocats, The (1970)",278,3.352517985611511,18.86670099985494,Animation,Children's,,,,
119,Arlington Road (1999),634,3.504731861198738,22.61270154063015,Thriller,,,,,
120,Armageddon (1998),1110,3.191891891891892,22.381913952907663,Action,Adventure,Sci-Fi,Thriller,,
121,Armed and Dangerous (1986),130,2.476923076923077,12.056508408051519,Comedy,Crime,,,,
122,Army of Darkness (1993),945,3.804232804232804,26.063502449037042,Action,Adventure,Comedy,Horror,Sci-Fi,
123,Around the World in 80 Days (1956),269,3.6022304832713754,20.153439876706997,Adventure,Comedy,,,,
124,"Arrival, The (1996)",417,3.1510791366906474,19.010732123366008,Action,Sci-Fi,Thriller,,,
125,Arsenic and Old Lace (1944),672,4.168154761904762,27.135764303281757,Comedy,Mystery,Thriller,,,
126,"Art of War, The (2000)",144,2.7847222222222223,13.839549535624835,Action,,,,,
127,Arthur (1981),534,3.4269662921348316,21.522704841380445,Comedy,Romance,,,,
128,As Good As It Gets (1997),1424,3.9501404494382024,28.682858948273918,Comedy,Drama,,,,
129,"Asphalt Jungle, The (1950)",151,3.9271523178807946,19.703622140604306,Crime,Film-Noir,,,,
130,Assassins (1995),126,2.857142857142857,13.817948305575651,Thriller,,,,,
131,"Astronaut's Wife, The (1999)",328,2.442073170731707,14.146963110718595,Sci-Fi,Thriller,,,,
132,Atlantic City (1980),304,3.8322368421052633,21.909004184665292,Crime,Drama,Romance,,,
133,Attack of the Killer Tomatoes! (1980),206,2.6067961165048543,13.888686906019442,Comedy,Horror,,,,
134,Auntie Mame (1958),274,3.835766423357664,21.530648320488545,Comedy,Drama,,,,
135,Austin Powers: International Man of Mystery (1997),1205,3.7103734439834026,26.3222605777009,Comedy,,,,,
136,Austin Powers: The Spy Who Shagged Me (1999),1434,3.388423988842399,24.627821241153647,Comedy,,,,,
137,Autumn in New York (2000),117,2.128205128205128,10.134882989441378,Drama,Romance,,,,
138,"Avengers, The (1998)",288,1.9965277777777777,11.306257903049197,Action,Adventure,,,,
139,Awakenings (1990),680,3.7808823529411764,24.659265564846265,Drama,,,,,
140,BASEketball (1998),183,2.9945355191256833,15.599991321077045,Comedy,,,,,
141,Babe (1995),1751,3.8914905768132497,29.061427214275156,Children's,Comedy,Drama,,,
142,Babe: Pig in the City (1998),523,3.2906309751434035,20.59797265708553,Children's,Comedy,,,,
143,Babes in Toyland (1961),162,2.9876543209876543,15.199979174397985,Children's,Fantasy,Musical,,,
144,Baby Geniuses (1999),164,1.701219512195122,8.675992276603361,Comedy,,,,,
145,Baby... Secret of the Lost Legend (1985),113,2.106194690265487,9.956799122597674,Adventure,Sci-Fi,,,,
146,Bachelor Party (1984),360,3.138888888888889,18.475826543162988,Comedy,,,,,
147,"Bachelor, The (1999)",252,2.4801587301587302,13.713861824185079,Comedy,Romance,,,,
148,Back to School (1986),354,3.1497175141242937,18.486627282893103,Comedy,,,,,
149,Back to the Future (1985),2583,3.9903213317847466,31.35078471406846,Comedy,Sci-Fi,,,,
150,Back to the Future Part II (1989),1158,3.3436960276338517,23.587935299042094,Comedy,Sci-Fi,,,,
151,Back to the Future Part III (1990),1148,3.2421602787456445,22.843536950475208,Comedy,Sci-Fi,Western,,,
152,Backbeat (1993),120,3.525,16.875908393306712,Drama,Musical,,,,
153,Backdraft (1991),869,3.440736478711162,23.284644355055836,Action,Drama,,,,
154,Bad Boys (1995),362,3.2955801104972378,19.416385482619187,Action,,,,,
155,Bad Lieutenant (1992),171,3.2046783625730995,16.477377947154725,Crime,Drama,,,,
156,"Bad Seed, The (1956)",127,3.748031496062992,18.15616577286842,Drama,Thriller,,,,
157,Badlands (1973),241,4.078838174273859,22.37159911046188,Crime,Drama,,,,
158,"Bamba, La (1987)",266,3.330827067669173,18.597660637521,Drama,,,,,
159,Bambi (1942),589,3.738539898132428,23.846000774874014,Animation,Children's,,,,
160,Bananas (1971),372,3.836021505376344,22.705004113031666,Comedy,War,,,,
161,"Bank Dick, The (1940)",147,3.993197278911565,19.92778182611645,Comedy,,,,,
162,Barb Wire (1996),300,2.03,11.578678423552086,Action,Sci-Fi,,,,
163,Barbarella (1968),386,3.0155440414507773,17.960089891339543,Adventure,Sci-Fi,,,,
164,Barcelona (1994),208,3.485576923076923,18.604399556651227,Comedy,Romance,,,,
165,Barefoot in the Park (1967),193,3.5906735751295336,18.896602595394224,Comedy,,,,,
166,Barry Lyndon (1975),169,3.5502958579881656,18.2126581594902,Drama,,,,,
167,Basic Instinct (1992),751,3.5419440745672435,23.452648513572033,Mystery,Thriller,,,,
168,"Basketball Diaries, The (1995)",181,3.541436464088398,18.41014694498008,Drama,,,,,
169,Basquiat (1996),127,3.4960629921259843,16.935583199902478,Drama,,,,,
170,Batman & Robin (1997),606,2.257425742574257,14.463055810136668,Action,Adventure,Crime,,,
171,Batman (1989),1431,3.6009783368273935,26.165172327780848,Action,Adventure,Crime,Drama,,
172,Batman Forever (1995),777,2.642213642213642,17.58509528868054,Action,Adventure,Comedy,Crime,,
173,Batman Returns (1992),1031,2.9767216294859358,20.65334149509995,Action,Adventure,Comedy,Crime,,
174,Batman: Mask of the Phantasm (1993),232,3.560344827586207,19.392263228432636,Animation,Children's,,,,
175,Battle for the Planet of the Apes (1973),312,2.8333333333333335,16.271842365460202,Action,Sci-Fi,,,,
176,Battlefield Earth (2000),342,1.6111111111111112,9.400528409711974,Action,Sci-Fi,,,,
177,"Battleship Potemkin, The (Bronenosets Potyomkin) (1925)",234,3.97008547008547,21.65809109473207,Drama,War,,,,
178,"Beach, The (2000)",423,2.702127659574468,16.34077163274207,Adventure,Drama,,,,
179,Bean (1997),200,2.685,14.225982129181478,Comedy,,,,,
180,"Bear, The (1988)",175,3.3714285714285714,17.412706997799276,Adventure,,,,,
181,"Beautician and the Beast, The (1997)",148,2.4324324324324325,12.155381206453253,Comedy,Romance,,,,
182,Beautiful Girls (1996),182,3.7252747252747254,19.38635458152784,Drama,,,,,
183,Beauty and the Beast (1991),1060,3.8858490566037736,27.068918515745356,Animation,Children's,Musical,,,
184,Beavis and Butt-head Do America (1996),475,3.04,18.73647700426531,Animation,Comedy,,,,
185,Bed of Roses (1996),120,2.975,14.242787934776587,Drama,Romance,,,,
186,Bedknobs and Broomsticks (1971),319,3.479623824451411,20.060696313765447,Adventure,Children's,Musical,,,
187,Beetlejuice (1988),1495,3.5678929765886287,26.080874812969505,Comedy,Fantasy,,,,
188,Before Sunrise (1995),160,3.80625,19.317380334233754,Drama,Romance,,,,
189,Being John Malkovich (1999),2241,4.125390450691656,31.826056780584373,Comedy,,,,,
190,Being There (1979),591,4.013536379018612,25.613650750063055,Comedy,,,,,
191,"Believers, The (1987)",102,2.911764705882353,13.466832603386552,Horror,Thriller,,,,
192,"Bell, Book and Candle (1958)",227,3.7665198237885464,20.433181783905727,Comedy,Romance,,,,
193,Belle de jour (1967),168,3.7261904761904763,19.092865780395478,Drama,,,,,
194,Beloved (1998),104,3.1346153846153846,14.558379164616225,Drama,,,,,
195,Ben-Hur (1959),704,4.110795454545454,26.953574662956495,Action,Adventure,Drama,,,
196,Beneath the Planet of the Apes (1970),365,2.9452054794520546,17.37641001397583,Action,Sci-Fi,,,,
197,Benji (1974),156,2.967948717948718,14.987713662541896,Adventure,Children's,,,,
198,Benny & Joon (1993),481,3.444906444906445,21.27528496167411,Comedy,Romance,,,,
199,"Best Man, The (1999)",111,3.036036036036036,14.298303403984294,Drama,,,,,
200,"Best Years of Our Lives, The (1946)",236,4.122881355932203,22.52673028088949,Drama,War,,,,
201,Best in Show (2000),657,4.073059360730594,26.424722120951014,Comedy,,,,,
202,Better Off Dead... (1985),472,3.9216101694915255,24.14527140321793,Comedy,,,,,
203,"Beverly Hillbillies, The (1993)",156,2.1923076923076925,11.070838169739371,Comedy,,,,,
204,Beverly Hills Cop III (1994),352,2.5056818181818183,14.692394025220231,Action,Comedy,,,,
205,Beverly Hills Ninja (1997),232,2.5474137931034484,13.875093907994781,Action,Comedy,,,,
206,Beyond the Mat (2000),134,3.529850746268657,17.288643472961052,Documentary,,,,,
207,Bicentennial Man (1999),383,2.906005221932115,17.285020738793886,Comedy,Drama,Sci-Fi,,,
208,"Bicycle Thief, The (Ladri di biciclette) (1948)",252,4.357142857142857,24.092512452728343,Drama,,,,,
209,Big (1988),1491,3.8558014755197854,28.175121467191467,Comedy,Fantasy,,,,
210,"Big Chill, The (1983)",838,3.8747016706443915,26.080687079075567,Comedy,Drama,,,,
211,Big Daddy (1999),791,3.1352718078381794,20.922602983645742,Comedy,,,,,
212,"Big Hit, The (1998)",189,3.0899470899470898,16.196720935422388,Action,Comedy,,,,
213,"Big Kahuna, The (2000)",304,3.3717105263157894,19.27616248007032,Comedy,Drama,,,,
214,"Big Lebowski, The (1998)",1097,3.7383773928896993,26.169892088959635,Comedy,Crime,Mystery,Thriller,,
215,Big Momma's House (2000),180,2.4444444444444446,12.693894524398294,Comedy,,,,,
216,Big Night (1996),450,4.095555555555555,25.020762877854946,Drama,,,,,
217,"Big One, The (1997)",102,4.0,18.499891253137083,Comedy,Documentary,,,,
218,"Big Sleep, The (1946)",541,4.312384473197782,27.139643581421147,Film-Noir,Mystery,,,,
219,Big Trouble in Little China (1986),584,3.414383561643836,21.74928520506761,Action,Comedy,,,,
220,Billy Madison (1995),355,3.183098591549296,18.69152986509076,Comedy,,,,,
221,Bio-Dome (1996),143,2.062937062937063,10.238036125361347,Comedy,,,,,
222,Bird on a Wire (1990),380,2.5842105263157893,15.350653079398588,Action,Adventure,Romance,Thriller,,
223,"Birdcage, The (1996)",682,3.5498533724340176,23.1628985361276,Comedy,,,,,
224,"Birds, The (1963)",733,3.882673942701228,25.614565712918704,Horror,,,,,
225,Birdy (1984),223,3.8565022421524664,20.852770060339473,Drama,War,,,,
226,"Black Cauldron, The (1985)",200,3.165,16.769174465124536,Animation,Children's,,,,
227,"Black Hole, The (1979)",295,2.772881355932203,15.769307937240585,Sci-Fi,,,,,
228,Black Sheep (1996),192,2.9427083333333335,15.471275443727587,Comedy,,,,,
229,Blade (1998),809,3.477132262051916,23.28217843471636,Action,Adventure,Horror,,,
230,Blade Runner (1982),1800,4.273333333333333,32.03094924019872,Film-Noir,Sci-Fi,,,,
231,"Blair Witch Project, The (1999)",1237,3.0315278900565885,21.58582570450431,Horror,,,,,
232,Blame It on Rio (1984),201,2.716417910447761,14.40599243681719,Comedy,Romance,,,,
233,Blast from the Past (1999),360,3.363888888888889,19.800199950239275,Comedy,Romance,,,,
234,Blazing Saddles (1974),1119,4.047363717605005,28.413265163489463,Comedy,Western,,,,
235,Blind Date (1987),210,2.6714285714285713,14.284415832059523,Comedy,Romance,,,,
236,"Blob, The (1958)",338,3.136094674556213,18.26162322252071,Horror,Sci-Fi,,,,
237,Blood Simple (1984),628,4.218152866242038,27.175619269067287,Drama,Film-Noir,,,,
238,Bloodsport (1988),222,3.225225225225225,17.424851375768252,Action,,,,,
239,Blown Away (1994),221,3.1085972850678734,16.780713918292744,Action,Thriller,,,,
240,Blowup (1966),246,3.8089430894308944,20.969494508815544,Drama,Mystery,,,,
241,"Blue Angel, The (Blaue Engel, Der) (1930)",100,3.94,18.144370532793083,Drama,,,,,
242,Blue Hawaii (1961),121,2.8264462809917354,13.555044352017235,Comedy,Musical,,,,
243,"Blue Lagoon, The (1980)",346,2.332369942196532,13.636058067836947,Adventure,Drama,Romance,,,
244,Blue Sky (1994),105,3.6095238095238096,16.798580692473344,Drama,Romance,,,,
245,Blue Streak (1999),128,3.2578125,15.807004844175626,Comedy,,,,,
246,Blue Velvet (1986),654,3.7629969418960245,24.395913137517073,Drama,Mystery,,,,
247,Blues Brothers 2000 (1998),230,2.4304347826086956,13.216897102991593,Action,Comedy,Musical,,,
248,"Blues Brothers, The (1980)",1341,3.9395973154362416,28.369713479774127,Action,Comedy,Musical,,,
249,"Boat, The (Das Boot) (1981)",1001,4.302697302697303,29.7262805539567,Action,Drama,War,,,
250,Bob Roberts (1992),415,3.7349397590361444,22.51525712375321,Comedy,,,,,
251,Body Heat (1981),504,4.031746031746032,25.087847176033772,Crime,Thriller,,,,
252,Body Snatchers (1993),269,3.0817843866171004,17.241694177285964,Horror,Sci-Fi,Thriller,,,
253,"Bodyguard, The (1992)",626,2.8594249201277955,18.41283892055779,Action,Drama,Romance,Thriller,,
254,Boiler Room (2000),590,3.4593220338983053,22.07089847086851,Drama,,,,,
255,"Bone Collector, The (1999)",640,3.3765625,21.817551139219347,Thriller,,,,,
256,Bonfire of the Vanities (1990),118,2.3728813559322033,11.320268600427001,Comedy,,,,,
257,Bonnie and Clyde (1967),686,4.096209912536443,26.751845676253257,Crime,Drama,,,,
258,Boogie Nights (1997),1128,3.769503546099291,26.492830220842762,Drama,,,,,
259,Boomerang (1992),194,2.768041237113402,14.581648615551584,Comedy,Romance,,,,
260,Booty Call (1997),144,2.5625,12.735146580163502,Comedy,Romance,,,,
261,Born Yesterday (1950),177,4.03954802259887,20.90930541689428,Comedy,,,,,
262,"Borrowers, The (1997)",177,3.0451977401129944,15.762399468120304,Adventure,Children's,Comedy,Fantasy,,
263,Bottle Rocket (1996),253,3.869565217391304,21.411811499858665,Comedy,,,,,
264,Bound (1996),572,3.8234265734265733,24.27546673802031,Crime,Drama,Romance,Thriller,,
265,Bowfinger (1999),935,3.2620320855614975,22.31408226131604,Comedy,,,,,
266,Boxing Helena (1993),166,2.3674698795180724,12.102477113398324,Mystery,Romance,Thriller,,,
267,"Boy Who Could Fly, The (1986)",176,3.25,16.804072983873994,Drama,Fantasy,,,,
268,Boys Don't Cry (1999),850,4.014117647058823,27.076172264047816,Drama,,,,,
269,"Boys from Brazil, The (1978)",204,3.661764705882353,19.473704095106026,Thriller,,,,,
270,Boys on the Side (1995),195,3.128205128205128,16.49502426012249,Comedy,Drama,,,,
271,"Brady Bunch Movie, The (1995)",418,2.9066985645933014,17.54332521654923,Comedy,,,,,
272,Bram Stoker's Dracula (1992),672,3.34375,21.768676326124282,Horror,Romance,,,,
273,Brassed Off (1996),238,3.542016806722689,19.382874697080055,Comedy,Drama,Romance,,,
274,Braveheart (1995),2443,4.234957020057307,33.03682378601415,Action,Drama,War,,,
275,Brazil (1985),913,4.097480832420591,27.93144461041158,Sci-Fi,,,,,
276,Breakdown (1997),354,3.42090395480226,20.078301022048024,Action,Thriller,,,,
277,Breaker Morant (1980),360,4.102777777777778,24.14937681792189,Drama,War,,,,
278,"Breakfast Club, The (1985)",1539,3.8797920727745288,28.473360004647137,Comedy,Drama,,,,
279,Breakfast at Tiffany's (1961),676,3.908284023668639,25.467133294238923,Drama,Romance,,,,
280,Breaking Away (1979),520,4.0807692307692305,25.520432188775295,Drama,,,,,
281,Breaking the Waves (1996),267,3.8239700374531833,21.36547146152305,Drama,,,,,
282,Breathless (1983),129,2.7674418604651163,13.449248281838116,Action,Drama,Romance,Thriller,,
283,Bride of Chucky (1998),147,2.36734693877551,11.81408530747619,Horror,Thriller,,,,
284,Bride of Frankenstein (1935),216,3.912037037037037,21.028288215245926,Horror,,,,,
285,"Bridge on the River Kwai, The (1957)",938,4.386993603411514,30.023487249638183,Drama,War,,,,
286,"Bridges of Madison County, The (1995)",387,3.2325581395348837,19.260954240259064,Drama,Romance,,,,
287,Brighton Beach Memoirs (1986),225,3.4355555555555557,18.607313826240077,Comedy,,,,,
288,Bring It On (2000),234,3.2735042735042734,17.858016984461536,Comedy,,,,,
289,Bringing Out the Dead (1999),557,3.0718132854578095,19.421739902182374,Drama,Horror,,,,
290,Bringing Up Baby (1938),413,4.169491525423729,25.114713692684987,Comedy,,,,,
291,Broadcast News (1987),789,3.747782002534854,25.00057796038181,Comedy,Drama,Romance,,,
292,Brokedown Palace (1999),171,2.888888888888889,14.853694718785462,Drama,,,,,
293,Broken Arrow (1996),638,2.876175548589342,18.57531465507475,Action,Thriller,,,,
294,Bronco Billy (1980),176,2.8238636363636362,14.600741735988416,Adventure,Drama,Romance,,,
295,"Bronx Tale, A (1993)",263,3.931558935361217,21.907251974417523,Drama,,,,,
296,"Brother from Another Planet, The (1984)",246,3.5853658536585367,19.7386277020014,Drama,Sci-Fi,,,,
297,"Brothers McMullen, The (1995)",433,3.392609699769053,20.59564370077519,Comedy,,,,,
298,"Buddy Holly Story, The (1978)",199,3.6884422110552766,19.52404895149637,Drama,,,,,
299,Buena Vista Social Club (1999),230,4.056521739130435,22.059686935762358,Documentary,,,,,
300,Buffalo 66 (1998),354,3.505649717514124,20.575699065533936,Action,Comedy,Drama,,,
301,Buffy the Vampire Slayer (1992),512,3.091796875,19.287632580932698,Comedy,Horror,,,,
302,"Bug's Life, A (1998)",1703,3.854374633000587,28.677112631749786,Animation,Children's,Comedy,,,
303,Bull Durham (1988),1095,3.837442922374429,26.85638129382377,Comedy,,,,,
304,Bulletproof (1996),104,2.9423076923076925,13.6652270686275,Action,,,,,
